Anduril (Anduril Industries) — Public Investor Compilation (Not the full cap table),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Generated,2026-01-09 11:15:00,,Sources used,"Tracxn (free view), Crunchbase News, Fortune, Nasdaq Private Market, Reuters/TechCrunch/Axios (round coverage)"
,,,,
Investor,Type,First known round,Rounds (publicly listed),Source URLs
8VC,Institutional,"Seed (Sep 11, 2019)","Seed (Sep 11, 2019), Series C (Jul 1, 2020), Series D (Jun 17, 2021), Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
Altimeter Capital,Institutional,"Series F (Aug 7, 2024)","Series F (Aug 7, 2024)","https://news.crunchbase.com/ai/defense-tech-anduril-industries-series-f/
https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
https://www.axios.com/2025/06/05/anduril-vc-funding"
Andreessen Horowitz,Institutional,"Seed (Sep 11, 2019)","Seed (Sep 11, 2019), Series C (Jul 1, 2020), Series D (Jun 17, 2021), Series E (Dec 1, 2022)","https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
https://www.axios.com/2025/06/05/anduril-vc-funding"
Baillie Gifford,Institutional,"Series F (Aug 7, 2024)","Series F (Aug 7, 2024)","https://news.crunchbase.com/ai/defense-tech-anduril-industries-series-f/
https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors"
BlackRock,Institutional,(reported),(not specified),https://news.crunchbase.com/venture/defense-tech-unicorn-anduril-doubles-valuation/
Counterpoint Global,Institutional,Series F (reported),Series F (Aug 2024),"https://news.crunchbase.com/ai/defense-tech-anduril-industries-series-f/
https://www.nasdaqprivatemarket.com/company/anduril/"
D1 Capital Partners,Institutional,"Series D (Jun 17, 2021)","Series D (Jun 17, 2021)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
DFJ Growth,Institutional,"Series E (Dec 1, 2022)","Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
Draper Fisher Jurvetson (DFJ),Institutional,(listed as major investor),(not specified),https://www.nasdaqprivatemarket.com/company/anduril/
Elad Gil,Angel/Individual,"Series C (Jul 1, 2020)","Series C (Jul 1, 2020), Series D (Jun 17, 2021), Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
Fidelity Investments,Institutional,"Series F (Aug 7, 2024)","Series F (Aug 7, 2024)","https://news.crunchbase.com/ai/defense-tech-anduril-industries-series-f/
https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors"
Founders Fund,Institutional,"Seed (Sep 11, 2019)","Seed (Sep 11, 2019), Series C (Jul 1, 2020), Series D (Jun 17, 2021), Series E (Dec 1, 2022), Series F (Aug 7, 2024), Series G (Jun 5, 2025)","https://news.crunchbase.com/ai/defense-tech-anduril-industries-series-f/
https://techcrunch.com/2025/06/05/anduril-raises-2-5b-at-30-5b-valuation-led-by-founders-fund/
https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
https://www.axios.com/2025/06/05/anduril-vc-funding
https://www.reuters.com/business/anduril-secures-305-billion-valuation-latest-fund-raise-2025-06-05/"
Franklin Templeton Investments,Institutional,"Series F (Aug 7, 2024)","Series F (Aug 7, 2024)","https://news.crunchbase.com/ai/defense-tech-anduril-industries-series-f/
https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors"
Franklin Venture Partners,Institutional,Series F (reported),Series F (Aug 2024),"https://news.crunchbase.com/ai/defense-tech-anduril-industries-series-f/
https://www.nasdaqprivatemarket.com/company/anduril/"
General Catalyst,Institutional,"Seed (Sep 11, 2019)","Seed (Sep 11, 2019), Series C (Jul 1, 2020), Series D (Jun 17, 2021), Series E (Dec 1, 2022)","https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
https://www.axios.com/2025/06/05/anduril-vc-funding"
Human Capital,Institutional,"Series C (Jul 1, 2020)","Series C (Jul 1, 2020), Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
Lachy Groom,Angel/Individual,"Series E (Dec 1, 2022)","Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
Lightspeed Venture Partners,Institutional,"Series E (Dec 1, 2022)","Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
Lux Capital,Institutional,"Seed (Sep 11, 2019)","Seed (Sep 11, 2019), Series C (Jul 1, 2020), Series D (Jun 17, 2021), Series E (Dec 1, 2022)","https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
https://www.axios.com/2025/06/05/anduril-vc-funding"
Marlinspike,Institutional,"Series E (Dec 1, 2022)","Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
Marlinspike Capital,Institutional,(listed as major investor),(not specified),https://www.nasdaqprivatemarket.com/company/anduril/
Morgan Stanley,Institutional,"Series F (Aug 7, 2024)","Series F (Aug 7, 2024)","https://news.crunchbase.com/ai/defense-tech-anduril-industries-series-f/
https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors"
MVP Ventures,Institutional,"Series E (Dec 1, 2022)","Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
Peter Thiel,Angel/Individual,"Series E (Dec 1, 2022)","Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
Rise of the Rest Seed Fund,Institutional,Pre-2019 (reported),(not specified),https://fortune.com/2019/09/12/term-sheet-thursday-september-12/
Sands Capital,Institutional,"Series F (Aug 7, 2024)","Series F (Aug 7, 2024)","https://news.crunchbase.com/ai/defense-tech-anduril-industries-series-f/
https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors"
Spark Capital,Institutional,Pre-2019 (reported),(not specified),https://fortune.com/2019/09/12/term-sheet-thursday-september-12/
SV Angel,Institutional,Pre-2019 (reported),(not specified),https://fortune.com/2019/09/12/term-sheet-thursday-september-12/
Thrive Capital,Institutional,"Series E (Dec 1, 2022)","Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
US Innovative Technology Fund,Institutional,"Series E (Dec 1, 2022)","Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
Valor Equity Partners,Institutional,"Series C (Jul 1, 2020)","Series C (Jul 1, 2020), Series D (Jun 17, 2021), Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
WCM Investment Management,Institutional,"Series E (Dec 1, 2022)","Series E (Dec 1, 2022)",https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors
XYZ Ventures,Institutional,Pre-2019 (reported),(not specified),https://fortune.com/2019/09/12/term-sheet-thursday-september-12/
